Content,2024 Dec,2025 Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Assets,"$77,094","$86,249","$83,738","$82,976","$82,806","$82,356","$82,240","$82,247","$81,953","$81,689","$81,839","$82,282","$82,548","$83,162"
Current Assets,"$24,449","$14,771","$12,291","$11,559","$11,419","$11,000","$10,915","$10,952","$10,689","$10,455","$10,635","$11,109","$11,406","$12,050"
Cash and Cash Equivalents,"$3,565","$7,563","$4,850","$4,761","$3,987","$4,111","$4,706","$5,077","$3,583","$4,621","$3,578","$4,772","$5,965","$7,257"
Accounts Receivable net,"$1,165","$371","$371","$371","$371","$371","$371","$371","$371","$371","$371","$371","$371","$371"
Other Receivables,"$1,055","$60","$60","$60","$60","$60","$60","$60","$60","$60","$60","$60","$60","$60"
Inventory,"$3,323","$4,942","$5,399","$5,434","$6,069","$5,525","$4,594","$3,760","$5,242","$4,470","$5,694","$4,973","$3,828","$2,504"
Other Current Assets,"$2,618","$1,555","$1,330","$652","$652","$652","$902","$1,402","$1,152","$652","$652","$652","$902","$1,577"
Non-Current Assets,"$52,645","$71,478","$71,447","$71,417","$71,386","$71,356","$71,325","$71,295","$71,264","$71,234","$71,203","$71,173","$71,142","$71,112"
PPE,"$168","$93","$93","$93","$93","$93","$93","$93","$93","$93","$93","$93","$93","$93"
ROU Assets,"$1,911","$1,219","$1,219","$1,219","$1,219","$1,219","$1,219","$1,219","$1,219","$1,219","$1,219","$1,219","$1,219","$1,219"
Intangbiles Assets net,"$49,452","$47,975","$47,975","$47,975","$47,975","$47,975","$47,975","$47,975","$47,975","$47,975","$47,975","$47,975","$47,975","$47,975"
Liabilities,"$28,876","$46,089","$45,104","$44,931","$45,122","$44,971","$44,892","$44,916","$44,644","$44,521","$44,392","$44,558","$44,498","$44,816"
Current Liabilities,"$17,211","$5,812","$4,900","$4,800","$5,108","$5,031","$5,024","$5,167","$4,968","$4,918","$4,906","$5,146","$5,158","$5,595"
Accounts Payable,"$4,741","$4,778","$3,863","$3,760","$4,066","$3,985","$3,976","$4,115","$3,913","$3,860","$3,846","$4,082","$4,092","$4,525"
Accrued expenses,"$943","$715","$715","$715","$715","$715","$715","$715","$715","$715","$715","$715","$715","$715"
Non-Current Liabilities,"$11,665","$40,277","$40,204","$40,131","$40,013","$39,940","$39,867","$39,749","$39,676","$39,603","$39,485","$39,412","$39,339","$39,221"
Short Term Debt,"$6,600","$35,315","$35,315","$35,315","$35,315","$35,315","$35,315","$35,315","$35,315","$35,315","$35,315","$35,315","$35,315","$35,315"
Long Term Debt,"$3,900","$3,900","$3,900","$3,900","$3,900","$3,900","$3,900","$3,900","$3,900","$3,900","$3,900","$3,900","$3,900","$3,900"
Stockholder's Equity,"$48,219","$40,159","$38,634","$38,045","$37,684","$37,385","$37,348","$37,331","$37,309","$37,168","$37,447","$37,724","$38,051","$38,345"
Equity,"$60,672","$60,672","$60,672","$60,672","$60,672","$60,672","$60,672","$60,672","$60,672","$60,672","$60,672","$60,672","$60,672","$60,672"
Accumulated Deficit,"-$12,453","-$20,513","-$22,038","-$22,627","-$22,988","-$23,287","-$23,324","-$23,341","-$23,364","-$23,504","-$23,225","-$22,948","-$22,621","-$22,327"
