계정과목,2024년(합계),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,2025년(합계),YoY
기초잔액,,"3,565","1,342",680,"1,947","1,280","1,479",495,792,167,346,"2,842","3,204","3,565",
영업활동,,"-2,713",-676,"-1,245",-693,172,"-1,010","-1,736","-2,667",138,-557,310,"5,411","-5,265",
당기순이익,,-400,-413,-998,-422,-334,-813,"-1,662",-383,46,-762,-445,"-1,473","-8,059",
매출채권의 변동,,-167,-88,565,-136,-12,187,17,-221,191,74,"-1,011","1,395",794,
매입채무의 변동,,"-1,118",198,"-1,665",-71,531,77,944,"-1,012",43,-811,-16,"2,936",37,
재고자산의 변동,,"-1,144","-2,165",-76,-143,482,352,-976,"-1,726",-498,942,"1,659","1,673","-1,619",
기타영업 자산부채의 변동,,116,"1,791",929,78,-496,-813,-59,675,356,,124,880,"3,581",
투자활동,,,,,,,,,,,,,"-19,159","-19,159",
보증금,,,,,,,,,,,,,,,
STE 지분 취득,,,,,,,,,,,,,"-19,159","-19,159",
재무활동,,490,14,"2,512",26,28,26,"2,033","2,042",40,"3,054",51,"18,107","28,422",
리스부채의 변동,,-22,-23,-33,-23,-23,-23,-24,-24,-24,-24,-24,-25,-293,
차입금의 변동(본사 차입금),,512,37,"2,544",49,51,49,"2,056","2,066",64,"3,078",76,"18,133","28,715",
주식발행/배당금등,,,,,,,,,,,,,,,
기말잔액,,"1,342",680,"1,947","1,280","1,479",495,792,167,346,"2,842","3,204","7,563","7,563",
