Content,2025 Total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,2026 Total,상세
1. MSRP Sales,"$44,095","$3,669","$3,074","$4,170","$3,769","$4,399","$3,973","$3,660","$3,697","$3,424","$3,574","$5,718","$6,630","$49,756",
E-com,"$39,960","$3,459","$2,584","$3,674","$3,390","$4,094","$3,791","$3,479","$3,179","$2,906","$3,186","$5,564","$6,476","$45,783",
Wholesale,"$4,135","$210","$490","$496","$378","$305","$181","$181","$518","$518","$388","$154","$154","$3,973",
2. Net Sales,"$22,819","$1,853","$1,746","$2,438","$2,202","$2,486","$2,548","$2,274","$2,108","$2,438","$2,696","$3,181","$3,760","$29,730",
E-com,"$20,322","$1,719","$1,505","$2,149","$2,003","$2,315","$2,380","$2,152","$1,856","$2,142","$2,494","$3,067","$3,600","$27,383",
Wholesale,"$1,515","$81","$189","$191","$146","$118","$70","$70","$200","$200","$150","$80","$80","$1,535",
License Revenue,"$832","$47","$47","$92","$47","$47","$92","$47","$47","$92","$47","$47","$92","$744",
Others,"$150","$5","$4","$6","$5","$6","$6","$5","$5","$4","$5","$8","$9","$68",
Discount Rate,"50.5%","50.9%","44.9%","43.9%","43.0%","44.7%","38.3%","39.3%","44.4%","31.6%","26.0%","45.3%","44.8%","41.9%",
3. CoGs,"$9,071","$799","$658","$889","$799","$931","$834","$766","$772","$696","$720","$1,146","$1,324","$10,333",
4. Direct Cost,"$8,570","$727","$624","$839","$819","$901","$883","$818","$742","$810","$914","$1,009","$1,426","$10,511",
Direct Profit,"$5,178","$327","$465","$711","$584","$654","$830","$690","$594","$932","$1,062","$1,026","$1,010","$8,886",
(%),"22.7%","17.7%","26.6%","29.2%","26.5%","26.3%","32.6%","30.4%","28.2%","38.2%","39.4%","32.3%","26.9%","29.9%",
5. G&A,"$7,114","$701","$702","$792","$731","$639","$796","$661","$683","$601","$733","$648","$664","$8,351",
Operating Profit,"-$1,937","-$374","-$237","-$81","-$147","$15","$34","$30","-$89","$331","$329","$379","$346","$536",
(%),"-8.5%","-20.2%","-13.6%","-3.3%","-6.7%","0.6%","1.3%","1.3%","-4.2%","13.6%","12.2%","11.9%","9.2%","1.8%",
6. Other Income(Expense),"-$2,184","-$374","-$237","-$81","-$147","$15","$34","$30","-$89","$331","$329","$379","$346","$536",
Net Profit,"-$4,121","-$748","-$474","-$162","-$295","$31","$68","$59","-$178","$663","$658","$757","$693","$1,072",
(%),"-18.1%","-40.4%","-27.2%","-6.6%","-13.4%","1.2%","2.7%","2.6%","-8.5%","27.2%","24.4%","23.8%","18.4%","3.6%",
